region,region1,year,TranCost
2,8,2046,1
2,8,2047,1
2,8,2048,1
2,8,2049,1
2,8,2050,1
2,9,2023,1
2,9,2024,1
2,9,2025,1
2,9,2026,1
2,9,2027,1
2,9,2028,1
2,9,2029,1
2,9,2030,1
2,9,2031,1
2,9,2032,1
2,9,2033,1
2,9,2034,1
2,9,2035,1
2,9,2036,1
2,9,2037,1
2,9,2038,1
2,9,2039,1
2,9,2040,1
2,9,2041,1
2,9,2042,1
2,9,2043,1
2,9,2044,1
2,9,2045,1
2,9,2046,1
2,9,2047,1
2,9,2048,1
2,9,2049,1
2,9,2050,1
2,10,2023,1
2,10,2024,1
2,10,2025,1
2,10,2026,1
2,10,2027,1
2,10,2028,1
2,10,2029,1
2,10,2030,1
2,10,2031,1
2,10,2032,1
2,10,2033,1
2,10,2034,1
2,10,2035,1
2,10,2036,1
2,10,2037,1
2,10,2038,1
2,10,2039,1
2,10,2040,1
2,10,2041,1
2,10,2042,1
2,10,2043,1
2,10,2044,1
2,10,2045,1
2,10,2046,1
2,10,2047,1
2,10,2048,1
2,10,2049,1
2,10,2050,1
2,11,2023,1
2,11,2024,1
2,11,2025,1
2,11,2026,1
2,11,2027,1
2,11,2028,1
2,11,2029,1
2,11,2030,1
2,11,2031,1
2,11,2032,1
2,11,2033,1
2,11,2034,1
2,11,2035,1
2,11,2036,1
2,11,2037,1
2,11,2038,1
2,11,2039,1
2,11,2040,1
2,11,2041,1
2,11,2042,1
2,11,2043,1
2,11,2044,1
2,11,2045,1
2,11,2046,1
2,11,2047,1
2,11,2048,1
2,11,2049,1
2,11,2050,1
2,12,2023,1
2,12,2024,1
2,12,2025,1
2,12,2026,1
2,12,2027,1
2,12,2028,1
2,12,2029,1
2,12,2030,1
2,12,2031,1
2,12,2032,1
2,12,2033,1
2,12,2034,1
2,12,2035,1
2,12,2036,1
2,12,2037,1
2,12,2038,1
2,12,2039,1
2,12,2040,1
2,12,2041,1
2,12,2042,1
2,12,2043,1
2,12,2044,1
2,12,2045,1
2,12,2046,1
2,12,2047,1
2,12,2048,1
2,12,2049,1
2,12,2050,1
2,13,2023,1
2,13,2024,1
2,13,2025,1
2,13,2026,1
2,13,2027,1
2,13,2028,1
2,13,2029,1
2,13,2030,1
2,13,2031,1
2,13,2032,1
2,13,2033,1
2,13,2034,1
2,13,2035,1
2,13,2036,1
2,13,2037,1
2,13,2038,1
2,13,2039,1
2,13,2040,1
2,13,2041,1
2,13,2042,1
2,13,2043,1
2,13,2044,1
2,13,2045,1
2,13,2046,1
2,13,2047,1
2,13,2048,1
2,13,2049,1
2,13,2050,1
2,14,2023,1
2,14,2024,1
2,14,2025,1
2,14,2026,1
2,14,2027,1
2,14,2028,1
2,14,2029,1
2,14,2030,1
2,14,2031,1
2,14,2032,1
2,14,2033,1
2,14,2034,1
2,14,2035,1
2,14,2036,1
2,14,2037,1
2,14,2038,1
2,14,2039,1
2,14,2040,1
2,14,2041,1
2,14,2042,1
2,14,2043,1
2,14,2044,1
2,14,2045,1
2,14,2046,1
2,14,2047,1
2,14,2048,1
2,14,2049,1
2,14,2050,1
2,15,2023,1
2,15,2024,1
2,15,2025,1
2,15,2026,1
2,15,2027,1
2,15,2028,1
2,15,2029,1
2,15,2030,1
2,15,2031,1
2,15,2032,1
2,15,2033,1
2,15,2034,1
2,15,2035,1
2,15,2036,1
2,15,2037,1
2,15,2038,1
2,15,2039,1
2,15,2040,1
2,15,2041,1
2,15,2042,1
2,15,2043,1
2,15,2044,1
2,15,2045,1
2,15,2046,1
2,15,2047,1
2,15,2048,1
2,15,2049,1
2,15,2050,1
2,16,2023,1
2,16,2024,1
2,16,2025,1
2,16,2026,1
2,16,2027,1
2,16,2028,1
2,16,2029,1
2,16,2030,1
2,16,2031,1
