region,tech,year,step,CapCost
5,1,2050,3,1709360
5,3,2023,3,757000
5,3,2024,3,741860
5,3,2025,3,726720
5,3,2026,3,711580
5,3,2027,3,696440
5,3,2028,3,681300
5,3,2029,3,666160
5,3,2030,3,651020
5,3,2031,3,635880
5,3,2032,3,620740
5,3,2033,3,605600
5,3,2034,3,590460
5,3,2035,3,575320
5,3,2036,3,560180
5,3,2037,3,545040
5,3,2038,3,529900
5,3,2039,3,514760
5,3,2040,3,499620
5,3,2041,3,484480
5,3,2042,3,469340
5,3,2043,3,454200
5,3,2044,3,439060
5,3,2045,3,423920
5,3,2046,3,408780
5,3,2047,3,393640
5,3,2048,3,378500
5,3,2049,3,363360
5,3,2050,3,348220
5,4,2023,3,786000
5,4,2024,3,770280
5,4,2025,3,754560
5,4,2026,3,738840
5,4,2027,3,723120
5,4,2028,3,707400
5,4,2029,3,691680
5,4,2030,3,675960
5,4,2031,3,660240
5,4,2032,3,644520
5,4,2033,3,628800
5,4,2034,3,613080
5,4,2035,3,597360
5,4,2036,3,581640
5,4,2037,3,565920
5,4,2038,3,550200
5,4,2039,3,534480
5,4,2040,3,518760
5,4,2041,3,503040
5,4,2042,3,487320
5,4,2043,3,471600
5,4,2044,3,455880
5,4,2045,3,440160
5,4,2046,3,424440
5,4,2047,3,408720
5,4,2048,3,393000
5,4,2049,3,377280
5,4,2050,3,361560
5,6,2023,1,7477000
5,6,2024,1,7327460
5,6,2025,1,7177920
5,6,2026,1,7028380
5,6,2027,1,6878840
5,6,2028,1,6729300
5,6,2029,1,6579760
5,6,2030,1,6430220
5,6,2031,1,6280680
5,6,2032,1,6131140
5,6,2033,1,5981600
5,6,2034,1,5832060
5,6,2035,1,5682520
5,6,2036,1,5532980
5,6,2037,1,5383440
5,6,2038,1,5233900
5,6,2039,1,5084360
5,6,2040,1,4934820
5,6,2041,1,4785280
5,6,2042,1,4635740
5,6,2043,1,4486200
5,6,2044,1,4336660
5,6,2045,1,4187120
5,6,2046,1,4037580
5,6,2047,1,3888040
5,6,2048,1,3738500
5,6,2049,1,3588960
5,6,2050,1,3439420
5,7,2023,1,4379000
5,7,2024,1,4291420
5,7,2025,1,4203840
5,7,2026,1,4116260
5,7,2027,1,4028680
5,7,2028,1,3941100
5,7,2029,1,3853520
5,7,2030,1,3765940
5,7,2031,1,3678360
5,7,2032,1,3590780
5,7,2033,1,3503200
5,7,2034,1,3415620
5,7,2035,1,3328040
5,7,2036,1,3240460
5,7,2037,1,3152880
5,7,2038,1,3065300
5,7,2039,1,2977720
5,7,2040,1,2890140
5,7,2041,1,2802560
5,7,2042,1,2714980
5,7,2043,1,2627400
5,7,2044,1,2539820
5,7,2045,1,2452240
5,7,2046,1,2364660
5,7,2047,1,2277080
5,7,2048,1,2189500
5,7,2049,1,2101920
5,7,2050,1,2014340
5,8,2023,1,2950000
5,8,2024,1,2891000
