plant_name,plant_id,unit_id,generator_id,unique_id,state,region,technology,heat_rate_mmbtu_per_mwh,capacity_mw,region_id,co2_short_ton_per_mwh
RyegateAssociates,51026,1,1,51026-1-1,VT,ISONE,Biomass,,20.0,ISO-NE_VT,
OceanStatePower,51030,1,GEN3,51030-1-GEN3,RI,ISONE,GasCombinedCycle,9.63,88.6,ISO-NE_RI,0.5632449156
OceanStatePower,51030,1,GEN1,51030-1-GEN1,RI,ISONE,GasCombinedCycle,9.63,82.8,ISO-NE_RI,0.5632449156
OceanStatePower,51030,2,GEN2,51030-2-GEN2,RI,ISONE,GasCombinedCycle,9.63,82.8,ISO-NE_RI,0.5632449156
OceanStatePower,51030,2,GEN3,51030-2-GEN3,RI,ISONE,GasCombinedCycle,9.63,88.6,ISO-NE_RI,0.5632449156
DoswellLimitedPartnership,52019,501,GEN1,52019-501-GEN1,VA,PJM,GasCombinedCycle,4.43,119.6,PJM_DOM,0.2591043589
DoswellLimitedPartnership,52019,501,GEN3,52019-501-GEN3,VA,PJM,GasCombinedCycle,4.43,132.0,PJM_DOM,0.2591043589
DoswellLimitedPartnership,52019,501,GEN6,52019-501-GEN6,VA,PJM,GasCombinedCycle,4.43,132.0,PJM_DOM,0.2591043589
DoswellLimitedPartnership,52019,502,GEN3,52019-502-GEN3,VA,PJM,GasCombinedCycle,4.81,132.0,PJM_DOM,0.281330015
DoswellLimitedPartnership,52019,502,GEN2,52019-502-GEN2,VA,PJM,GasCombinedCycle,4.81,119.6,PJM_DOM,0.281330015
DoswellLimitedPartnership,52019,502,GEN6,52019-502-GEN6,VA,PJM,GasCombinedCycle,4.81,132.0,PJM_DOM,0.281330015
DoswellLimitedPartnership,52019,601,GEN4,52019-601-GEN4,VA,PJM,GasCombinedCycle,4.3,119.6,PJM_DOM,0.251500845
DoswellLimitedPartnership,52019,601,GEN6,52019-601-GEN6,VA,PJM,GasCombinedCycle,4.3,132.0,PJM_DOM,0.251500845
DoswellLimitedPartnership,52019,601,GEN3,52019-601-GEN3,VA,PJM,GasCombinedCycle,4.3,132.0,PJM_DOM,0.251500845
DoswellLimitedPartnership,52019,602,GEN5,52019-602-GEN5,VA,PJM,GasCombinedCycle,4.28,119.6,PJM_DOM,0.2503310736
DoswellLimitedPartnership,52019,602,GEN3,52019-602-GEN3,VA,PJM,GasCombinedCycle,4.28,132.0,PJM_DOM,0.2503310736
DoswellLimitedPartnership,52019,602,GEN6,52019-602-GEN6,VA,PJM,GasCombinedCycle,4.28,132.0,PJM_DOM,0.2503310736
