
year,region_id,scenario_id,fuel,price_per_mmbtu
2025,ENTERGY_SYS,REF,DISTILLATE,13.5966
2025,ENTERGY_SYS,REF,RESIDUAL,9.1618
2025,ENTERGY_SYS,REF,URANIUM,0.61
2025,FPL_SYS,REF,GAS,2.39
2025,FPL_SYS,REF,COAL,2.2144
2025,FPL_SYS,REF,DISTILLATE,13.5966
2025,FPL_SYS,REF,RESIDUAL,9.1618
2025,FPL_SYS,REF,URANIUM,0.61
2025,FPC_SYS,REF,GAS,2.39
2025,FPC_SYS,REF,COAL,2.2144
2025,FPC_SYS,REF,DISTILLATE,13.5966
2025,FPC_SYS,REF,RESIDUAL,9.1618
2025,FPC_SYS,REF,URANIUM,0.61
2025,TECO_SYS,REF,GAS,2.39
2025,TECO_SYS,REF,COAL,2.2144
2025,TECO_SYS,REF,DISTILLATE,13.5966
2025,TECO_SYS,REF,RESIDUAL,9.1618
2025,TECO_SYS,REF,URANIUM,0.61
2025,JEA_SYS,REF,GAS,2.39
2025,JEA_SYS,REF,COAL,2.2144
2025,JEA_SYS,REF,DISTILLATE,13.5966
2025,JEA_SYS,REF,RESIDUAL,9.1618
2025,JEA_SYS,REF,URANIUM,0.61
2025,FMPA_SYS,REF,GAS,2.39
2025,FMPA_SYS,REF,COAL,2.2144
2025,FMPA_SYS,REF,DISTILLATE,13.5966
2025,FMPA_SYS,REF,RESIDUAL,9.1618
2025,FMPA_SYS,REF,URANIUM,0.61
2025,FRCC_SYS,REF,GAS,2.39
2025,FRCC_SYS,REF,COAL,2.2144
2025,FRCC_SYS,REF,DISTILLATE,13.5966
2025,FRCC_SYS,REF,RESIDUAL,9.1618
2025,FRCC_SYS,REF,URANIUM,0.61
2025,SPP_MO,REF,GAS,2.39
2025,SPP_MO,REF,COAL,2.2144
2025,SPP_MO,REF,DISTILLATE,13.5966
2025,SPP_MO,REF,RESIDUAL,9.1618
2025,SPP_MO,REF,URANIUM,0.61
2025,SPP_AR,REF,GAS,2.39
