
Year,Region_ID,Scenario,Peak_Demand_MW
2039,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),69750.53765629073
2040,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),70642.89783830824
2041,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),71546.67451575659
2042,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),72462.01374666316
2043,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),73389.06345766272
2044,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),74327.9734679036
2045,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),75278.89551325976
2046,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),76241.98327085258
2047,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),77217.39238388641
2048,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),78205.28048680181
2049,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),79205.80723075072
2050,FRCC_SYS,FRCC RLRP 2025 Summer Net Firm Peak Demand (extrapolated),80219.1343093973
2025,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6826.0
2026,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6848.0
2027,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6874.0
2028,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6930.0
2029,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),6980.0
2030,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7032.0
2031,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7101.0
2032,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7183.0
2033,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7262.0
2034,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7355.0
2035,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7451.0
2036,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7554.0
2037,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7657.0
2038,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),7763.0
2039,ISO-NE_CT,ISO-NE 2025 Seasonal Peaks (Gross max across seasons),8036.0
